id_unidad,nombre_unidad,nombre_organismo,cantidad_licitaciones,totalgastado,primera_licitacion,ultima_licitacion,gasto_2022,diferencia_anterior_2023,proveedores_2022,proveedores_2023,competencia_otros,valor_promedio_compra,cantidad_trabajadores,cliente_nuevo
3121,Hospital Coquimbo,SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO,11,1292430015,26/10/2018,21/03/2023,30000000,-361340299.8,1,12,2,117493637.7,2578,0
5491,SECPLAN,I MUNICIPALIDAD DE PINTO,9,1227360147,14/11/2018,24/05/2021,0,245472029.4,0,0,2,136373349.7,476,0
5916,División Educación - DIVEDUC,COMANDO DE APOYO A LA FUERZA,2,1213037500,24/05/2022,24/04/2023,584837500,-511232500,4,3,2,606518750,0,0
3302,SECRETARIA DE PLANIFICACION,I MUNICIPALIDAD DE OSORNO,8,1189555079,30/05/2018,21/12/2022,1042059552,237911015.8,2,0,1,148694384.9,3404,0
948355,Unidad de Compra Insumos Médicos,FONDO HOSPITAL DE LA DIRECCION DE PREVISION DE CARABINEROS DE CHILE,13,1180942810,06/11/2018,16/06/2023,415471570,-46769158,29,14,2,90841754.62,1576,0
5550,Dirección de Salud,DIRECCION DE LOGISTICA DE CARABINEROS,5,1170244781,02/04/2018,20/12/2022,15016700,234048956.2,3,0,2,234048956.2,0,0
2023,Dirección de Vialidad - III Región - Provincia de Vallenar,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,21,1148975195,24/05/2018,27/04/2023,298439785,89683039,2,1,2,54713104.52,8883,0
5966,Operaciones,SERVICIO DE SALUD DEL MAULE HOSPITAL DE TALCA,78,1072243753,03/01/2018,09/06/2023,129065368,51309446.6,12,14,1,13746714.78,0,0
1057492,Bienes y Servicios,HOSPITAL ORIENTE DR LUIS TISNE BROUSSE,17,1064384150,14/08/2019,12/04/2023,127396444,-34231586,2,8,2,62610832.35,1509,0
1604,Hospital Dr. Gustavo Fricke,HOSPITAL DR GUSTAVO FRICKE DE VINA DEL MAR,31,1015515827,02/01/2018,20/12/2022,249085538,203103165.4,5,0,2,32758575.06,0,0
5291,Abastecimiento General,HOSPITAL GUILLERMO GRANT BENAVENTE DE CO,17,981951490,26/01/2018,11/05/2023,0,125981348,0,1,2,57761852.35,0,0
3344,DIRECCIÓN DE OBRAS MUNICIPALES,I MUNICIPALIDAD DE PUNTA ARENAS,5,960718192,22/11/2018,30/07/2020,0,192143638.4,0,0,2,192143638.4,496,0
1352,HOSPITAL HANGA ROA,DIRECCION SERVICIO SALUD METROPOLITANO O,4,955436254,25/11/2019,04/11/2022,423676573,191087250.8,7,0,2,238859063.5,0,0
1057049,Bienes y Servicios,SERV SALUD METROPOLITANO CENTRAL HOSPITAL CLINICO SAN BORJA ARRIARAN,24,946397234,14/05/2019,01/06/2023,127701990,-15528046.4,15,6,2,39433218.08,3919,0
1057472,Bienes y Servicios,HOSPITAL CLINICO METROPOLITANO EL CARMEN DOCTOR LUIS VALENTIN FERRADA,5,915383498,07/02/2020,26/04/2023,0,-873218218.4,0,6,2,183076699.6,2792,0
1057544,Bienes y Servicios,SERVICIO DE SALUD DE TALCAHUANO HOSPITAL,18,902496473,23/09/2019,25/04/2023,371509035,-11177359.4,27,16,2,50138692.94,0,0
2460,Hospital Parral,SERVICIO DE SALUD DEL MAULE HOSPITAL DE PARRAL,52,887148139,15/02/2018,11/05/2023,214940703,-16686050.2,46,38,2,17060541.13,0,0
2495,INSTITUTO NACIONAL DEL TORAX,INSTITUTO NACIONAL DEL TORAX,9,877266163,10/09/2018,23/12/2022,136074395,175453232.6,1,0,2,97474018.11,934,0
2510,Hospital de Castro,SERVICIO DE SALUD CHILOE,14,874049178,21/02/2018,21/11/2022,333053363,174809835.6,43,0,2,62432084.14,0,0
1606,Comisión Nacional de Energía,Comisión Nacional de Energía,14,859630455,24/04/2018,12/10/2022,269120456,171926091,3,0,2,61402175.36,101,0
3732,SECPLA,I MUNICIPALIDAD DE ANGOL,9,848249067,21/12/2020,12/11/2021,0,169649813.4,0,0,2,94249896.33,1941,0
5079,Secplan,MUNICIPALIDAD DE HUALPEN,1,830634246,22/05/2023,22/05/2023,0,-830634246,0,1,2,830634246,1858,0
2394,Servicio de Salud Ohiggins,SERVICIO DE SALUD LIBERTADOR BDO OHIGGINS,11,809909772,01/08/2018,17/05/2023,181935457,109094678.4,10,5,2,73628161.09,838,0
3184,Dpto. R. Físicos Dirección Serv. Salud del Maule,SERVICIO DE SALUD DEL MAULE,7,793014826,12/04/2018,11/05/2023,0,157000601.6,0,11,2,113287832.3,11924,0
608897,Subsecretaría del Medio Ambiente,SUBSECRETARIA DEL MEDIO AMBIENTE,5,790692323,19/04/2018,05/10/2022,75490600,158138464.6,1,0,1,158138464.6,574,0
1809,Cotizaciones - ISP,INSTITUTO DE SALUD PUBLICA DE CHILE,17,780842279,23/04/2018,06/09/2022,191468029,156168455.8,29,0,2,45931898.76,953,0
1057554,Bienes y Servicios,SERVICIO NACIONAL DE SALUD HOSPITAL CARLOS VAN BUREN,4,741193986,30/09/2020,17/08/2022,738751030,148238797.2,15,0,2,185298496.5,0,0
1753,Subsecretaría de Salud Pública,SUBSECRETARIA DE SALUD PUBLICA,10,734022464,14/05/2018,11/08/2022,562879704,146804492.8,4,0,2,73402246.4,25289,0
937232,Centro de Referencia de Salud Hospital Provincia Cordillera,CENTRO DE REFERENCIA DE SALUD HOSPITAL PROVINCIA CORDILLERA,17,702163272,15/05/2018,31/05/2023,62161824,-168254216.4,2,22,2,41303721.88,610,0
1057448,Bienes y Servicios,SERVICIO DE SALUD IQUIQUE,4,687882172,15/11/2019,27/03/2023,0,6927634.4,0,1,2,171970543,3916,0
4849,Secpla,I MUNICIPALIDAD DE VINA DEL MAR,8,663246119,23/11/2018,30/09/2022,191187500,132649223.8,2,0,2,82905764.88,1377,0
2171,Servicio de Salud Araucanía Sur,SERVICIO DE SALUD ARAUCANIA SUR,16,655752863,16/03/2018,17/08/2022,18249846,131150572.6,3,0,1,40984553.94,6770,0
2974,Hospital Nueva Imperial,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE NUEVA IMPERIAL,13,651836798,31/01/2018,21/03/2023,119821345,-110995302.8,13,15,2,50141292.15,0,0
5380,Servicios Generales,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO,12,646759989,23/08/2018,16/06/2023,0,-89494553.4,0,2,2,53896665.75,0,0
1991,Dirección de Vialidad - III Región - Provincia de Copiapó,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,14,644181501,15/02/2018,16/11/2022,298920000,128836300.2,3,0,2,46012964.36,8883,0
1894,HOSPITAL CLAUDIO VICUNA,SERVICIO DE SALUD VALPARAISO SAN ANTONIO,5,641381136,10/10/2018,10/02/2023,475695134,122142424.8,2,1,2,128276227.2,0,0
4626,Adquisiciones,I MUNICIPALIDAD DE SAN IGNACIO,6,626656765,27/03/2018,10/08/2021,0,125331353,0,0,2,104442794.2,979,0
2663,Compra de Servicios Clínicos,HOSPITAL GUILLERMO GRANT BENAVENTE DE CO,4,625620000,27/11/2019,22/11/2022,484370000,125124000,2,0,2,156405000,0,0
5526,Secplac,I MUNICIPALIDAD DE CHILE CHICO,4,599758852,19/10/2018,30/12/2020,0,119951770.4,0,0,2,149939713,233,0
1603,Adquisiciones,PARQUE METROPOLITANO DE SANTIAGO,32,596808395,09/07/2018,30/11/2022,248903720,119361679,9,0,2,18650262.34,445,0
3067,Abastecimiento en Red-Inversiones,SERVICIO DE SALUD NUBLE,4,584575328,24/04/2018,18/10/2018,0,116915065.6,0,0,2,146143832,838,0
5041,Municipalidad De Ninhue-Secretaria Planificacion,I MUNICIPALIDAD DE NINHUE,8,572761132,07/01/2019,17/03/2022,800000,114552226.4,1,0,2,71595141.5,63,0
1057490,Bienes y Servicios,Instituto de Neurocirugía,7,550655032,05/11/2020,08/05/2023,155835378,-146407820.8,4,7,2,78665004.57,796,0
2022,Dirección de Vialidad - III Región - Provincia de Chañaral,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,8,545639772,29/11/2018,24/05/2023,43400000,23764754.4,1,1,2,68204971.5,8883,0
6060,ILUSTRE MUNICIPALIDAD DE TIMAUKEL,ILUSTRE MUNICIPALIDAD DE TIMAUKEL,17,543004179,07/05/2019,17/05/2023,234942346,94446497.4,10,3,2,31941422.29,76,0
6262,Adquisiciones No Clinicas,HOSPITAL PROVINCIAL   DEL HUASCO MSR FERNANDO ARIZTIA RUIZ,6,532963263,17/02/2018,04/04/2023,0,-235000878.6,0,1,2,88827210.5,0,0
5557,Fondos Hospitales,DIRECCION DE LOGISTICA DE CARABINEROS,13,531513749,07/01/2019,21/12/2022,389910878,106302749.8,11,0,2,40885673,0,0
1057501,COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO,COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO,27,528155593,05/06/2019,02/06/2023,194815861,24880681.4,18,21,2,19561318.26,5755,0
873299,Unidad de Abastecimientos,SERVICIO NACIONAL DE SALUD HOSPITAL CARLOS VAN BUREN,6,528038513,02/10/2018,09/07/2020,0,105607702.6,0,0,2,88006418.83,0,0
2284,Servicio de Salud Metropolitano Occidente,SERVICIO SALUD METROPOLITANO OCCIDENTE,4,526354851,19/07/2018,02/12/2019,0,105270970.2,0,0,2,131588712.8,717,0
2519,Hospital Dr. Abraham Godoy Peña,SERVICIO NACIONAL ARAUCANIA SUR HOSPITAL DR ABRAHAM GODOY PENA LAUTARO,15,520619734,17/07/2018,28/02/2023,86061123,76739465.6,13,7,2,34707982.27,0,0
1765,Dirección Servicio de Salud Antofagasta,SERVICIO DE SALUD ANTOFAGASTA DIRECCION,5,519415792,07/09/2018,12/10/2022,55000000,103883158.4,3,0,2,103883158.4,6581,0
3064,HOSPITAL BARROS LUCO TRUDEAU,SERVICIO DE SALUD METROPOLITANO SUR HOSP,13,510985766,03/07/2018,23/12/2022,77470370,102197153.2,4,0,2,39306597.38,4449,0
3093,Hospital Curanilahue,SERVICIO NACIONAL DE SALUD HOSPITAL DE C,29,504667053,07/03/2018,24/01/2023,241873311,98503410.6,36,1,0,17402312.17,0,1
1725,Compras Técnicas,EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A,30,500900621,15/03/2018,20/01/2022,5943148,100180124.2,5,0,2,16696687.37,0,0
2507,Hospital de Constitución,Hospital de Constitución,11,491734734,27/12/2018,20/10/2022,238454950,98346946.8,25,0,1,44703157.64,0,0
4099,HOSPITAL NAVAL ALMIRANTE ADRIAZOLA,DIRECCION DE ABASTECIMIENTO DE LA ARMADA,11,491434371,18/12/2018,02/06/2023,240120000,-183113125.8,2,1,2,44675851.91,415,0
1057804,Activos Fijos,SERVICIO DE SALUD BIO BIO,2,491182628,02/12/2020,10/11/2022,289109178,98236525.6,2,0,2,245591314,2692,0
4398, Area Municipal,I MUNICIPALIDAD DE VILCUN,10,489937585,29/01/2018,02/06/2022,1471135,97987517,1,0,2,48993758.5,924,0
6066,Hospital Clínico Univ. de Chile-Insumos Generales,UNIVERSIDAD DE CHILE,6,456659985,04/05/2018,25/11/2022,387290237,91331997,2,0,2,76109997.5,16577,0
2954,Hospital Santiago Oriente Dr. Luis Tisne Brousse,HOSPITAL ORIENTE DR LUIS TISNE BROUSSE,6,456059400,03/09/2018,31/01/2019,0,91211880,0,0,2,76009900,1509,0
4094,Dpto.Armamento y Munic.L5,DIRECCION DE LOGISTICA DE CARABINEROS,2,446600000,19/03/2020,19/03/2020,0,89320000,0,0,2,223300000,0,0
1400,Complejo Asistencial  Dr. Sotero del Río EQUIPAMIENTO,COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO,26,443850142,26/01/2018,28/05/2019,0,88770028.4,0,0,2,17071159.31,5755,0
2264,Dirección de Obras Portuarias - Concepción,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,3,440411220,24/07/2019,08/11/2021,0,88082244,0,0,2,146803740,8883,0
1057499,Bienes y Servicios,SERVICIO DE SALUD SUR UNIDAD HOSPITALARI,6,436044186,24/05/2021,02/11/2022,303735662,87208837.2,6,0,2,72674031,592,0
4112,HOSPITAL NAVAL ALMIRANTE NEF,DIRECCION DE ABASTECIMIENTO DE LA ARMADA,29,429130550,15/03/2018,17/02/2023,135593699,75173638,42,1,2,14797605.17,1237,0
4297,DIVLOG - Comando DIVLOG,COMANDO DE APOYO A LA FUERZA,3,424122404,08/06/2020,15/11/2022,241836004,84824480.8,5,0,2,141374134.7,0,0
1075914,Cuenta extrapresupuestaria FNDR Minería,SUBSECRETARIA DEL MINISTERIO DE MINERIA,8,420281789,08/07/2020,03/09/2021,0,84056357.8,0,0,2,52535223.63,150,0
4668,Obras Y Secplan,I MUNICIPALIDAD DE LA HIGUERA,1,413203619,21/04/2023,21/04/2023,0,-413203619,0,1,2,413203619,328,0
1057547,Bienes y Servicios,SERVICIO DE SALUD VALDIVIA HOSPITAL BASE,46,407332228,23/04/2019,22/05/2023,123617468,6468462.8,10,5,2,8855048.435,0,0
2015,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,14,393544205,13/04/2018,16/05/2023,57965000,74676313,3,1,2,28110300.36,8883,0
3426,SECRETARIA COMUNAL DE PLANIFICACION,I MUNICIPALIDAD ESTACION CENTRAL,1,389092534,01/03/2021,01/03/2021,0,77818506.8,0,0,2,389092534,2299,0
2491,Servicio de Salud Metropolitano Oriente,DIRECCION SERVICIO SALUD METROPOLITANO O,3,386849850,04/01/2018,03/01/2019,0,77369970,0,0,2,128949950,445,0
2545,Hospital San  José,SERVICIO DE SALUD METROPOLITANA NORTE HOSPITAL SAN JOSE,12,379258305,30/06/2018,28/10/2022,95741860,75851661,4,0,2,31604858.75,3868,0
1057491,Bienes y Servicios,SERVICIO DE SALUD ORIENTE HOSPITAL LUIS CALVO MACKENNA,9,368928504,17/10/2019,16/06/2022,76862690,73785700.8,7,0,2,40992056,1729,0
3276,SECRETARIA PLANIFICACION MUNICIPAL,I MUNICIPALIDAD VALDIVIA,9,367966394,13/06/2018,21/09/2022,275412299,73593278.8,3,0,1,40885154.89,4340,0
3207,DEPARTAMENTO DE ABASTECIMIENTO SSMS,SERVICIO DE SALUD SUR UNIDAD HOSPITALARI,3,359647380,07/12/2018,25/04/2019,0,71929476,0,0,2,119882460,592,0
1058078,Fármarcos,Hospital de Melipilla,2,355014756,03/10/2020,04/01/2022,108018756,71002951.2,1,0,2,177507378,1116,0
2262,Dirección de Obras Portuarias - Copiapo,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,1,352388282,19/06/2020,19/06/2020,0,70477656.4,0,0,2,352388282,8883,0
2151,Hospital Eduardo Pereira,SERVICIO DE SALUD VALPARAISO SAN ANTONIO,5,346642589,15/06/2018,04/12/2020,0,69328517.8,0,0,2,69328517.8,0,0
6536,UNIDAD DE PROYECTOS SSTHNO,DIRECCION SERVICIO DE SALUD TALCAHUANO,4,345423037,05/09/2018,16/10/2018,0,69084607.4,0,0,2,86355759.25,6298,0
1631,Depto. Recursos Físicos,SERVICIO DE SALUD DE ARICA,15,344328185,18/04/2018,12/05/2023,2508555,68865632.2,7,2,2,22955212.33,651,0
5881,FARMACIA INSUMOS,HOSPITAL DE QUILPUE,5,343851275,02/02/2018,05/04/2021,0,68770255,0,0,2,68770255,0,0
4785,SECPLAN,I MUNICIPALIDAD DE PRIMAVERA,5,339491539,07/12/2018,18/07/2022,3200000,67898307.8,1,0,2,67898307.8,71,0
1180730,Compras Convenio GORE Magallanes,SERVICIO DE SALUD MAGALLANES,1,339000000,06/07/2022,06/07/2022,339000000,67800000,1,0,2,339000000,3790,0
1952,SERVICIO DE SALUD VALPARAISO SAN ANTONIO,SERVICIO DE SALUD VALPARAISO SAN ANTONIO,6,333432073,27/08/2021,29/11/2022,328241825,66686414.6,10,0,2,55572012.17,6999,0
6097,CONTRATOS-SUMINISTRO,SERVICIO DE SALUD DEL MAULE HOSPITAL DE LINARES,4,327272386,25/01/2019,20/05/2021,0,65454477.2,0,0,2,81818096.5,0,0
3321,Unidad de Adquisiciones Dirección de Educación,I MUNICIPALIDAD DE PUERTO MONTT,107,326599751,09/02/2018,20/04/2023,82493788,3047449,25,13,2,3052334.121,7280,0
1404,Hospital HGGB Operaciones,HOSPITAL GUILLERMO GRANT BENAVENTE DE CO,3,325710000,05/09/2022,12/04/2023,10410000,-313218000,1,2,2,108570000,0,0
2541,Hospital Base Osorno,HOSPITAL BASE OSORNO,15,323948109,27/04/2018,19/08/2019,0,64789621.8,0,0,1,21596540.6,0,0
1057979,Obras Civiles,DIRECCION SERVICIO DE SALUD TALCAHUANO,4,323464323,25/02/2020,13/05/2022,1500000,64692864.6,1,0,2,80866080.75,6298,0
1057543,Bienes y Servicios,SERVICIO DE SALUD TALCAHUANO HOSPITAL DE,11,321674164,17/06/2019,24/05/2023,210617288,47020337.6,6,2,2,29243105.82,0,0
5882,ECONOMATO,HOSPITAL DE QUILPUE,3,321005446,09/04/2018,08/05/2023,0,-37174594,0,1,2,107001815.3,0,0
5640,PROYECTOS SECTORIALES,SERVICIO DE SALUD ARAUCANIA NORTE,2,319250946,22/08/2018,10/10/2018,0,63850189.2,0,0,2,159625473,1341,0
1825,Dirección de Arquitectura - XII Región,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,1,310086448,15/02/2021,15/02/2021,0,62017289.6,0,0,2,310086448,8883,0
3317,Departamento de Licitaciones y gestión de Abastecimiento ,I MUNICIPALIDAD DE PUERTO MONTT,87,305750571,06/02/2018,31/05/2023,74812984,14174051.4,21,4,2,3514374.379,7280,0
2948,Región de Valparaíso,DIRECCION GENERAL DE GENDARMERIA DE CHIL,26,304851871,27/03/2018,30/05/2023,13847938,33330861.8,5,5,2,11725071.96,0,0
617807,Hospital San Juan de Dios de Los Andes,SERV NAC SALUD HOSPITAL DE LOS ANDES,4,303163302,09/11/2018,15/03/2021,0,60632660.4,0,0,2,75790825.5,0,0
3656,SECPLA,I MUNICIPALIDAD DE VITACURA,1,302521014,22/12/2022,22/12/2022,302521014,60504202.8,1,0,2,302521014,1162,0
507428,Servicio de Salud Chiloé,SERVICIO DE SALUD CHILOE,4,297760019,08/02/2018,03/12/2021,0,59552003.8,0,0,2,74440004.75,3213,0
3110,Departamento de Abastecimiento,CENTRO DE REFERENCIA DE SALUD DE MAIPU,7,296642726,15/02/2018,16/02/2023,142742630,-55556376.8,1,1,2,42377532.29,340,0
5368,Abastecimiento (Economato),SERVICIO DE SALUD DEL MAULE HOSPITAL DE CURICO,4,292796328,04/02/2019,06/04/2022,134360470,58559265.6,4,0,2,73199082,0,0
1171142,HOSPITAL COMPLEJO ASISTENCIAL PADRE LAS CASAS,HOSPITAL COMPLEJO ASISTENCIAL PADRE LAS CASAS,4,289032723,11/05/2021,03/05/2023,0,-123340318.2,0,1,2,72258180.75,0,0
3128,HOSPITAL DR HERNAN HENRIQUEZ A COMPRA DE SERVICIO,HOSPITAL DOCTOR HERNAN HENRIQUEZ ARAVENA,2,288062500,22/11/2019,31/12/2020,0,57612500,0,0,2,144031250,5188,0
4162,DEPTO. DE BIENESTAR SOCIAL (M),DIRECCION DE ABASTECIMIENTO DE LA ARMADA,38,286128516,25/01/2018,13/04/2023,43258876,47199606,6,2,2,7529697.789,65,0
1632,Hospital Juan Noé,SERVICIO DE SALUD DE ARICA,15,284123180,11/01/2018,19/07/2019,0,56824636,0,0,2,18941545.33,651,0
3079,SERVICIO DE SALUD MAGALLANES,SERVICIO DE SALUD MAGALLANES,5,280829033,24/10/2018,25/09/2019,0,56165806.6,0,0,2,56165806.6,3790,0
3701,I.MUNICIPALIDAD AYSEN-DIRECCION DE EDUCACION,I MUNICIPALIDAD DE AYSEN,2,277627495,03/12/2019,28/05/2021,0,55525499,0,0,2,138813747.5,876,0
4926,Secretaría De Planificación,I MUNICIPALIDAD DE PUCHUNCAVI,3,274833629,13/03/2019,09/02/2023,0,-217866024.2,0,1,2,91611209.67,870,0
5992,Miscelaneos,HOSPITAL CLINICO DE MAGALLANES DR. LAUTARO NAVARRO AVARIA,2,274074677,12/02/2018,31/01/2019,0,54814935.4,0,0,2,137037338.5,0,0
3246,Hospital Doctor Luis Calvo Mackenna Adquisiciones,SERVICIO DE SALUD ORIENTE HOSPITAL LUIS CALVO MACKENNA,4,273458031,24/01/2018,16/11/2018,0,54691606.2,0,0,2,68364507.75,1729,0
886954,Abastecimiento Insumos,HOSPITAL GUILLERMO GRANT BENAVENTE DE CO,4,270534249,16/04/2019,05/04/2021,0,54106849.8,0,0,2,67633562.25,0,0
2623,Hospital de San Fernando Abastecimiento,SERVICIO DE SALUD HOSPITAL DE SAN FERNANDO,7,269945883,13/02/2018,01/02/2023,68430000,-145312103.4,13,1,2,38563697.57,1286,0
1885,Dirección General de Aguas - XII Región,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,1,267221000,04/10/2022,04/10/2022,267221000,53444200,1,0,2,267221000,8883,0
2549,Hospital Valdivia,SERVICIO DE SALUD VALDIVIA HOSPITAL BASE,35,265297719,09/01/2018,19/11/2019,0,53059543.8,0,0,2,7579934.829,0,0
673684,MEDICAMENTOS E INSUMOS CLINICOS,Instituto de Neurocirugía,1,263847868,10/11/2020,10/11/2020,0,52769573.6,0,0,2,263847868,796,0
2765,Servicio de Salud Valdivia,SERVICIO DE SALUD LOS RIOS,4,262127300,08/02/2018,16/11/2018,0,52425460,0,0,2,65531825,5239,0
5076,Educación,Ilustre Municipalidad de El Carmen,4,261675113,20/07/2018,25/05/2022,3587761,52335022.6,1,0,2,65418778.25,818,0
3782,Municipalidad de Huechuraba,Municipalidad de Huechuraba,5,259159249,06/03/2018,09/02/2023,140715362,49920285.8,2,1,2,51831849.8,1997,0
2957,Región de Coquimbo,DIRECCION GENERAL DE GENDARMERIA DE CHIL,7,258829671,07/02/2018,04/12/2020,0,51765934.2,0,0,2,36975667.29,0,0
4949,Depto. De  Educación,ILUSTRE MUNICIPALIDAD DE CAMINA,3,255424601,20/05/2019,13/03/2023,2439752,-252338498.6,1,1,2,85141533.67,118,0
575061,JENACRIM,POLICIA DE INVESTIGACIONES DE CHILE,17,254633121,19/03/2018,21/03/2023,69932420,42610200.6,14,4,2,14978418.88,13522,0
4740,I MUNICIPALIDAD DE SANTA MARIA,I MUNICIPALIDAD DE SANTA MARIA,3,252941990,17/10/2018,18/08/2020,0,50588398,0,0,2,84313996.67,524,0
4299,Hospital Militar de Santiago- HMS,COMANDO DE APOYO A LA FUERZA,7,252347670,19/01/2018,13/06/2023,0,48069534,0,1,2,36049667.14,1579,0
759035,LICITACIONES Y COMPRA DE SERVICIOS,SERVICIO NACIONAL DE SALUD HOSPITAL DE C,1,251881000,05/10/2021,05/10/2021,0,50376200,0,0,2,251881000,0,0
3374,DEPARTAMENTO DE ADQUISICIONES DAEM,I MUNICIPALIDAD DE COPIAPO,2,251538900,18/12/2019,24/09/2020,0,50307780,0,0,2,125769450,1053,0
