IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo,,,,,,,,,,,,,,,,,,,,,,,,,
1161-45-L118;ASC-12-LAREDO-L1-QUEMADOR A GAS PARA INCINERADOR;L1;Adjudicada a uno o varios proveedores;29/03/2018 10:52:00;EL LABORATORIO REGIONAL PECUARIO SAG OSORNO, REQUIERE LA ADQUISICION DE 1 QUEMADOR A GAS PARA INCINERADOR;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Servicio Agrícola y Ganadero,,,,,,,,,,,,,,,,,,,,,,,,
1193-5-L118;ADQUISICIÓN DE BOTELLA DE GAS DE CALIBRACIÓN PARA EQUIPO CORTEX ;L1;Adjudicada a uno o varios proveedores;28/02/2018 15:31:21;ADQUISICIÓN DE BOTELLA DE GAS DE CALIBRACIÓN PARA EQUIPO CORTEX ;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;Instituto Nacional de Deportes de Chile,,,,,,,,,,,,,,,,,,,,,,,,,
3810-10-L118;CONTRATO SUMINISTRO GAS LIC MUNICIPALIDAD AÑO 2018;L1;Adjudicada a uno o varios proveedores;16/02/2018 19:08:31;CONTRATO DE SUMINISTRO DE GAS LICUADO PARA ILUSTRE MUNICIPALIDAD DE PICHILEMU AÑO 2018;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;Ilustre Municipalidad de Pichilemu,,,,,,,,,,,,,,,,,,,,,,,,,
3398-1-L118;Gas Helio Laboratorio Criminalistica Temuco;L1;Adjudicada a uno o varios proveedores;26/02/2018 11:13:37;- Se requiere contratar para el año 2018, servicios de abastecimiento de gas Helio 6.0 y que incluya, por parte del proveedor, la prestación de dos estanques para el producto, de 8.5 de capacidad.;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Carabineros de Chile,,,,,,,,,,,,,,,,,,,,,
3952-3-LE18;NORMALIZACION DEL SISTEMA DE GAS;LE;Adjudicada a uno o varios proveedores;09/02/2018 14:49:00;LA PRESENTE NORMALIZACIÓN COMPRENDE LA VERIFICACIÓN DE LAS INSTALACIONES DE GAS EXISTENTE DE COCINA Y CAMARIN,EN CADA ESTABLECIMIENTO EDUCACIONAL SEÑALADO EN LAS EE.TT. ELABORACION DEL PROYECTO DE GAS LICUADO Y APROVACION DEL SELLO VERDE.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Ilustre Municipalidad de Peralillo,,,,,,,,,,,,,,,,,,,,,,,,
4055-22-L118;INSTALACION ESTANQUE DE GAS Y CONEXION A CABAÑAS;L1;Adjudicada a uno o varios proveedores;02/02/2018 15:25:11;SE REQUIERE EL SERVICIO COMPLETO DE INSTALACIÓN ESTANQUE DE GAS LICUADO, CONEXIONES POR CAÑERÍAS A CABAÑAS Y CERTIFICACIÓN SEC EN SECTOR BALNEARIO MUNICIPAL SALTO DEL LAJA, DE ACUERDO A CLÁUSULA 14.;CLP;PUBLICADO;DISPONIBLE;4.400.000;Ilustre Municipalidad de Yumbel,,,,,,,,,,,,,,,,,,,,,,,
2950-13-L118;ADQUISICIÓN DE VÁLVULAS DE GAS;L1;Adjudicada a uno o varios proveedores;14/02/2018 15:15:10;ADQUISICIÓN DE VÁLVULA DE GAS PARA CALDERA N°2;CLP;PUBLICADO;DISPONIBLE;1.020.000;ARMADA DE CHILE,,,,,,,,,,,,,,,,,,,,,,,,,
3130-1-LP18;SERVICIO DE ABASTECIMIENTO DE GASES MEDICINALES;LP;Adjudicada a uno o varios proveedores;31/01/2018 19:24:34;NECESIDADES DEL SERVICIO;CLP;PUBLICADO;DISPONIBLE;92.000.000;ARMADA DE CHILE,,,,,,,,,,,,,,,,,,,,,,,,,
4589-8-LE18;RECARGA DE GAS LICUADO PARA ESTANQUES;LE;Adjudicada a uno o varios proveedores;14/03/2018 16:36:56;objeto adjudicar por Propuesta Pública la “Adquisición de contrato de suministro para abastecimiento de Gas Licuado para Estanques de la Ilustre Municipalidad de Torres del Payne”, para abastecimiento de Áreas Municipal, educación y salud, además de proyectos, convenios y programas externos;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;Ilustre Municipalidad Torres del Payne,,,,,,,,,,,,,,,,,,,,,
5053-8-LE18;Adquisición mezclas de gases;LE;Adjudicada a uno o varios proveedores;16/02/2018 09:19:00;Se requiere adquirir mezclas de gases para el optimo funcionamiento de equipo pletismógrafo de la unidad de Respiratorio de cardiología por el periodo de 24 meses.;CLP;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;Hospital Talca,,,,,,,,,,,,,,,,,,,,,,,,,
2583-251-L118;SMAPA-37899-TUBO ACERO, GORRO TUBO GALVANIZADO, UR;L1;Adjudicada a uno o varios proveedores;28/03/2018 16:35:05;TUBO ACERO GALVANIZADO, GORRO TUBO ACERO GALVANIZADO, ETC.;CLP;PUBLICADO;ESTIMADO;350.000;ILUSTRE MUNICIPALIDAD DE MAIPU,,,,,,,,,,,,,,,,,,,,,
"3447-16-LP18;Normalizacion Redes de Gas Jardines JUNJI;LP;Adjudicada a uno o varios proveedores;26/01/2018 15:57:34;Art. 4º	La Municipalidad de Alto Hospicio", en su calidad de ente ejecutor técnico del proyecto denominado “NORMALIZACION REDES DE GAS JARDINES INFANTILES JUNJI, ALTO HOSPICIO”, Código BIP N° 30460048-0, financiado por el Gobierno Regional de Tarapacá, mediante el Fondo Regional de Inversión Local FRIL Presupuesto Tradicional Año 2017 llama a licitación pública a los proveedores del rubro para ejecutar proyecto que consiste en el diseño y normalización de la red de gas licuado de los 11 jardines infantiles administrados por la Municipalidad, actualmente todos los jardines tienen la instalación de red de gas y el proyecto contempla la regularización de las redes a la normativa vigente. Todos los jardines tienen dos redes de gas interior, una correspondiente al jardín infantil SS.HH., baño personal, tineta y otra de uso para el servicio de alimentación concesionado Cocina, cocina de leche, y baño manipuladoras. Estas redes tanto su diseño, trazado y ubicación de estanques o artefactos deben regirse por lo estipulado en la normativa de instalaciones interiores de gas SEC. Lo anterior, según las condiciones y características técnicas dispuestas en las presentes bases de licitación y convenio mandato.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;Municipalidad de Alto Hospicio,,,,,,,,,,,,
2280-31-L118;9-SP N° 19616, REGULARIZACIÓN COCINA, PINTURAS, ARTEFACTOS ELÉCTRICOS Y RED DE GAS.;L1;Adjudicada a uno o varios proveedores;31/01/2018 13:09:57;9-SP N° 19616, REGULARIZACIÓN COCINA, PINTURAS, ARTEFACTOS ELÉCTRICOS Y RED DE GAS.;CLP;PUBLICADO;DISPONIBLE;4.308.362;I. MUNICIPALIDAD DE VALDIVIA,,,,,,,,,,,,,,,,,,,
3537-50-L118;recarga de gas refrigerante para perforador hidráulico matrícula CI-04025 del Campamento Puelo.;L1;Adjudicada a uno o varios proveedores;13/02/2018 17:26:00;El CUERPO MILITAR DEL TRABAJO, SUBJEFATURA ZONAL “PUERTO MONTT” – en adelante CMT- llama a ofertar la recarga de gas refrigerante para perforador hidráulico matrícula CI-04025 del Campamento Puelo.;CLP;PUBLICADO;DISPONIBLE;200.000;Ejército de Chile,,,,,,,,,,,,,,,,,,,,,,,,
2140-1-LE18;Convenio Ferreteria, Gas y Electrodomésticos 2018 - Readjudicada en Id 2140-1-R119;LE;Adjudicada a uno o varios proveedores;08/01/2018 15:13:49;La necesidad del Hospital de adquirir insumos de Ferretería, Gas y Electrodomésticos, que son compras necesarias para mantener el buen funcionamiento y mantención del Hospital.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Servicio de Salud del Reloncaví,,,,,,,,,,,,,,,,,,,,,,
3468-17-LE18;DISEÑO NORMALIZACION INSTALACIONES AGUA POTABLE Y ALCANTARILLADO Y GAS ESC. E INTERNADO CARRERAS CORTAS Y OTROS FAEP 2016 ;LE;Adjudicada a uno o varios proveedores;15/02/2018 14:55:17;DISEÑO NORMALIZACION INSTALACIONES AGUA POTABLE Y ALCANTARILLADO Y GAS ESC. E INTERNADO CARRERAS CORTAS Y OTROS FAEP 2016 ;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Ilustre Municipalidad de Chanco,,,,,,,,,,,,,,,,,,,,,,,,,
3017-115-L118;1 ESTUFA A GAS, DEPTO. ASEO Y ORNATO, SEC. MEDIO AMBIENTE ;L1;Adjudicada a uno o varios proveedores;10/03/2018 12:47:15;1 ESTUFA A GAS CON REGULADOR, Y UN CILINDRO CON RECARGA DESTINADO A LA CONSULTA VETERINARIA EX HOSPITAL;CLP;PUBLICADO;ESTIMADO;230.000;MUNICIPALIDAD DE LOTA,,,,,,,,,,,,,,,,,,,,,,
3366-1-L118;ADQUISICIÓN DE UN GENERADOR A GAS NATURAL;L1;Adjudicada a uno o varios proveedores;18/01/2018 16:25:36;ADQUISICIÓN DE UN GENERADOR A GAS NATURAL 5 KVA MONOFÁSICO PARA LOS PREDIOS MILITARES V DE.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;Ejército de Chile,,,,,,,,,,,,,,,,,,,,,,,,,
3468-16-LE18;DISEÑO NORMALIZACION INSTALACIONES AGUA POTABLE Y ALCANTARILLADO Y GAS ESC. LOS PEUMOS Y OTROS FAEP 2016 ;LE;Adjudicada a uno o varios proveedores;15/02/2018 14:45:35;DISEÑO NORMALIZACION INSTALACIONES AGUA POTABLE Y ALCANTARILLADO Y GAS ESC. LOS PEUMOS Y OTROS FAEP 2016 ;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Ilustre Municipalidad de Chanco,,,,,,,,,,,,,,,,,,,,,,,,,
3468-18-LE18;DISEÑO NORMALIZACION INSTALACIONES AGUA POTABLE Y ALCANTARILLADO Y GAS ESC. PAHUIL Y OTROS FAEP 2016 ;LE;Adjudicada a uno o varios proveedores;15/02/2018 15:04:46;DISEÑO NORMALIZACION INSTALACIONES AGUA POTABLE Y ALCANTARILLADO Y GAS ESC. PAHUIL Y OTROS FAEP 2016 ;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Ilustre Municipalidad de Chanco,,,,,,,,,,,,,,,,,,,,,,,,,
5060-14-L118;S72-EDUCACIÓN-MANTENCIÓN ESTUFAS A GAS ESCUELAS;L1;Adjudicada a uno o varios proveedores;02/02/2018 15:56:00;S72-EDUCACIÓN-MANTENCIÓN ESTUFAS A GAS ESCUELAS. SEGÚN ESPECIFICACIONES TÉCNICAS.;CLP;PUBLICADO;DISPONIBLE;4.400.000;Municipalidad de Temuco,,,,,,,,,,,,,,,,,,,,,,,,,
2773-35-L118;Mantención de calderas y circuito de calefacción ;L1;Adjudicada a uno o varios proveedores;28/03/2018 10:44:22;Calderas a gas Cesfam Pinares y Cesfam Leonera ;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;MUNICIPALIDAD DE CHIGUAYANTE,,,,,,,,,,,,,,,,,,,,,,,,,
2324-109-L118;HORNO A GAS BENEFICIARIA PROGRAMA CAPACITACIÓN EN ;L1;Adjudicada a uno o varios proveedores;16/03/2018 13:35:24;HORNO A GAS BENEFICIARIA PROGRAMA CAPACITACIÓN EN OFICIO Y GESTIÓN EMPRENDEDORA PARA TALLERES LABORALES / DIDECO - OFICINA DE LA MUJER Y EQUIDAD DE GENERO;CLP;PUBLICADO;ESTIMADO;299.990;Municipalidad de Puerto Montt,,,,,,,,,,,,,,,,,,,,,,,,,
3017-248-L118;ESTUFAS, DIVERSAS DEPENDENCIAS;L1;Adjudicada a uno o varios proveedores;29/03/2018 16:00:00;REQUERIMIENTO NECESARIO PARA DIVERSAS DEPENDENCIAS MUNICIPALES;CLP;PUBLICADO;DISPONIBLE;400.000;MUNICIPALIDAD DE LOTA,,,,,,,,,,,,,,,,,,,,,,,,
2367-250-L117;Servicio de Normalización Instalación y Certificación de Red de Gas del Jardin Infantil y Sala Cuna Carita de Sol, Arica;L1;Adjudicada a uno o varios proveedores;01/12/2017 11:57:00;Proveer de servicio de normalizacion, instalación y certificación de red de gas;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;ILUSTRE MUNICIPALIDAD DE ARICA,,,,,,,,,,,,,,,,,,,,,,,
2345-105-L118;HORNO A GAS 1 CÁMARA.;L1;Adjudicada a uno o varios proveedores;09/03/2018 17:16:00;HORNO A GAS 1 CÁMARA. CARGO: PROG. GESTIÓN INTERNA P.M.N°96043 COT. EC Despachar a bodega municipal, Av. Andres Bello 2610 Las Condes;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;MUNICIPALIDAD DE LAS CONDES,,,,,,,,,,,,,,,,,,,,,,,,
5215-227-L118;ESTUFAS A GAS;L1;Adjudicada a uno o varios proveedores;02/03/2018 13:20:17;SC 237 - SP 814  CESFAM PADRE ESTEBAN GUMUCIO;CLP;PUBLICADO;DISPONIBLE;407.440;ILUSTRE MUNICIPALIDAD DE LA GRANJA,,,,,,,,,,,,,,,,,,,,,,,,,
5060-25-L118;s110-EDUCACION  MANTENCION ESTUFAS A GAS  ESTABLECIMIENTOS;L1;Adjudicada a uno o varios proveedores;13/03/2018 08:55:10;s110-EDUCACION  MANTENCION ESTUFAS A GAS  ESTABLECIMIENTOS;CLP;PUBLICADO;DISPONIBLE;4.350.000;Municipalidad de Temuco,,,,,,,,,,,,,,,,,,,,,,,,,
3366-6-L118;CALDERA AIRE FORZADO GAS NATURAL 135.000 BTU;L1;Adjudicada a uno o varios proveedores;05/04/2018 09:21:21;ADQUISICIÓN E INSTALACIÓN DE CALDERA DE AIRE FORZADO A GAS NATURAL DE 135.000 BTU DE PROCEDENCIA ITALIANA;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;Ejército de Chile,,,,,,,,,,,,,,,,,,,,,,,,,
3085-131-LE17;Certificación red de gas;LE;Adjudicada a uno o varios proveedores;01/12/2017 08:52:14;Certificación red de gas en 69 departamentos fiscales.;CLP;PUBLICADO;ESTIMADO;4.397.050;ARMADA DE CHILE,,,,,,,,,,,,,,,,,,,,,,,,,
2945-39-LE18;ADQUISICIÓN DE COCINAS PARA LOS CENTROS DE ABASTECIMIENTOS DE LA ARMADA;LE;Adjudicada a uno o varios proveedores;08/03/2018 12:49:43;COCINAS PARA LOS CENTROS DE ABASTECIMIENTOS;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;ARMADA DE CHILE,,,,,,,,,,,,,,,,,,,,,,,,,
1641-264-LQ17;MANTENIMIENTO SISTEMA DE GASES CLÍNICOS HSJD;LQ;Adjudicada a uno o varios proveedores;19/12/2017 09:16:00;CONVENIO MANTENIMIENTO PREVENTIVO, CORRECTIVO Y NORMALIZACIÓN SISTEMA DE GASES CLÍNICOS PARA EL HOSPITAL SAN JUAN DE DIOS-CDT;CLP;PUBLICADO;DISPONIBLE;100.000.000;Hospital San Juan de Dios,,,,,,,,,,,,,,,,,,,,,,,,
3691-12-LE18;Servicio de reparación de observaciones Autorización de Sello Verde, II Llamado;LE;Adjudicada a uno o varios proveedores;13/02/2018 16:56:38;El Departamento de Educación requiere la contratación de servicios de reparación de observaciones “Autorización de Sello Verde”, dado que todos los Establecimientos Educacionales, Salas Cunas, Jardines Infantiles y Hogar Estudiantil de la comuna de Las Cabras, en Marzo de 2018 deberán contar con respectivo Sello Verde en las instalaciones a gas.;CLP;PUBLICADO;DISPONIBLE;8.100.000;Ilustre Municipalidad de Las Cabras,,,,,,,,,,,,,,,,,,,,
3928-16-L118;CONTRATO DE SUMINISTRO DE GAS LICUADO PARA EL DEPARTAMENTO DE EDUCACION MUNICIPAL, INTERNADO MUNICIPAL, ESTABLECIMIENTOS EDUCACIONALES, JARDINES INFANTILES, AÑO 2018;L1;Adjudicada a uno o varios proveedores;24/01/2018 14:53:10;CONTRATO DE SUMINISTRO DE GAS LICUADO PARA EL DEPARTAMENTO DE EDUCACION MUNICIPAL, INTERNADO MUNICIPAL, ESTABLECIMIENTOS EDUCACIONALES, JARDINES INFANTILES, AÑO 2018 DECRETO N° 0146 DEL 18.01.2018 FONDOS DAEM, LEY SEP, MANTENIMIENTO, JUNJI, ARRIENDO, FAEP Y OTROS FONDOS ESPECIALES;CLP;PUBLICADO;ESTIMADO;4.000.000;Ilustre Municipalidad de Pichilemu,,,,,,,,,,,,
3510-26-L118;COMPRESOR PARA SILLON DENTAL MODULO DENTAL JUNAEB;L1;Adjudicada a uno o varios proveedores;19/03/2018 16:39:19;PROGRAMA MODULO DENTAL JUNAEB;CLP;NO PUBLICADO;DISPONIBLE;Menor a 100 UTM;Ilustre Municipalidad de Calbuco,,,,,,,,,,,,,,,,,,,,,,,,,
559818-1-LQ18;Adquisición de vales de gas licuado de petróleo;LQ;Adjudicada a uno o varios proveedores;05/01/2018 10:05:13;Adquisición de vales de gas licuado de petróleo para el Servicio de Bienestar de la Subsecretaría del Interior;CLP;PUBLICADO;DISPONIBLE;230.000.000;Ministerio del Interior,,,,,,,,,,,,,,,,,,,,,,,,,
610-1-LQ18;Proc.Tarifario Gas Magallanes y Antártica Chilena;LQ;Adjudicada a uno o varios proveedores;12/02/2018 15:27:06;El estudio tiene por objeto dimensionar y determinar las componentes de costo de una empresa eficiente que presta el servicio de distribución de gas y servicios afines que correspondan, en la Región de Magallanes y la Antártica Chilena, durante el horizonte de planificación.;CLP;PUBLICADO;DISPONIBLE;200.000.000;Comisión Nacional de Energía,,,,,,,,,,,,,,,,,,,,,,,
3021-21-L118;F-698, MOVAMONOS 2017, INSUMOS VARIOS, ORD 297;L1;Adjudicada a uno o varios proveedores;15/01/2018 16:24:51;COMPRA DE INSUMOS VARIOS PARA UNIDAD F-698;CLP;PUBLICADO;DISPONIBLE;336.134;MUNICIPALIDAD DE LOTA,,,,,,,,,,,,,,,,,,,,,,
3516-47-L118;SERVICIO DE INSTALACIONES ELECTRICAS HABITABILIDAD 2017;L1;Adjudicada a uno o varios proveedores;13/02/2018 17:19:20;SERVICIO DE INSTALACIONES ELECTRICAS HABITABILIDAD 2017;CLP;PUBLICADO;DISPONIBLE;860.000;Municipalidad de Carahue,,,,,,,,,,,,,,,,,,,,,,,,,
622-4-LE18;Contratación  servicios  mantención equipos de Gas;LE;Adjudicada a uno o varios proveedores;19/01/2018 14:21:28;“CONTRATACIÓN DE SERVICIOS DE MANTENCIÓN Y CORRECCIÓN DE EQUIPOS DE GAS PARA LA UNIDAD DE CASINO Y LA UNIDAD DEL JARDIN INFANTIL DE LA TESORERÍA GENERAL DE LA REPÚBLICA”.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;Tesorería General de la República,,,,,,,,,,,,,,,,,,,,,,,,,
5154-13-L118;GASES PARA LABORATORIO LSA S.C. N° 25756 Y N° 25780.;L1;Adjudicada a uno o varios proveedores;03/04/2018 12:53:28;GASES PARA LABORATORIO LSA S.C. N° 25756 Y N° 25780.;CLP;NO PUBLICADO;ESTIMADO;Menor a 100 UTM;UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUC.,,,,,,,,,,,,,,,,,,,,,,,,,
4306-4-L118;ADQ DE MERCADERIAS VARIAS ANIVERSARIO ERCILLA 2018;L1;Adjudicada a uno o varios proveedores;26/01/2018 16:52:41;ADQUISICIÓN DE MERCADERÍAS, GAS  Y MATERIALES DE ORNAMENTACIÓN PARA DIFERENTES ACTIVIDADES DE ANIVERSARIO PIDIMA, PAILAHUEQUE Y ERCILLA 2018.-;CLP;PUBLICADO;ESTIMADO;1.500.000;Ilustre Municipalidad de Ercilla,,,,,,,,,,,,,,,,,,,,,,,
